"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",4,6,7,8,9,10,13,16,19,20,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,4,7,8,9,10,13,16,17,19,20,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,4,5,7,8,9,10,13,15,16,18,19,20,22,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",3,4,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",4,7,8,9,10,13,16,17,19,20,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4,5,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4,5,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,3,4,5,7,8,9,10,13,15,16,19,20,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4,7,8,9,10,13,16,17,18,19,20,21,22,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",4,7,8,9,10,12,13,15,16,19,20,22,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1,3,4,5,6,7,8,9,10,13,15,16,18,19,20,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",4,7,8,9,10,13,16,19,20,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",4,5,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",4,6,7,8,9,10,11,12,13,15,16,18,19,20,21,22,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1,4,5,7,8,9,10,11,13,15,16,17,19,20,21,22,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",4,5,7,8,9,10,13,15,16,18,19,20,21,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1,4,5,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",4,5,8,9,10,13,16,17,18,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,4,5,7,8,9,10,13,15,16,17,19,20,21,22,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",4,5,6,7,8,9,10,13,15,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",4,5,7,8,9,10,13,16,19,20,21,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",4,7,8,9,10,13,15,16,17,18,19,20,21,22,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,4,5,6,7,8,9,10,12,13,15,16,17,19,20,21,22,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1,4,5,7,8,9,10,13,15,16,19,20,21,22,26,27,28,29,30,32,33,34,35,36,37,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
