"","total.num.var.onet","total.num.var.adlas","total.num.var.bort","total.num.var.bory"
"1",31,20,26,26
"2",34,19,27,29
"3",34,20,30,31
"4",33,18,28,30
"5",31,19,25,27
"6",31,20,28,26
"7",32,22,28,25
"8",36,21,28,32
"9",28,18,29,25
"10",31,19,28,26
"11",27,20,31,31
"12",28,19,24,28
"13",28,19,28,20
"14",29,20,31,29
"15",34,21,33,30
"16",33,21,28,27
"17",29,20,28,27
"18",34,20,28,31
"19",32,20,31,25
"20",29,20,29,31
"21",32,19,27,27
"22",33,20,29,29
"23",32,20,33,27
"24",37,18,29,28
"25",32,21,29,26
"26",33,21,29,32
"27",34,19,29,30
"28",35,21,27,26
"29",31,19,29,30
"30",31,21,26,27
"31",31,21,27,27
"32",32,19,27,27
"33",28,20,27,31
"34",34,20,29,28
"35",31,19,28,28
"36",31,20,27,26
"37",29,20,30,30
"38",33,20,29,27
"39",34,21,27,28
"40",36,21,26,29
"41",34,19,28,26
"42",31,21,28,26
"43",30,19,29,29
"44",32,18,30,25
"45",34,19,27,28
"46",30,21,31,23
"47",31,21,30,29
"48",29,20,26,29
"49",32,19,27,29
"50",31,18,27,34
"51",29,20,31,30
"52",33,20,30,30
"53",30,28,28,34
"54",33,19,29,30
"55",32,21,28,28
"56",31,20,28,25
"57",35,19,28,27
"58",28,17,27,30
"59",30,20,27,27
"60",29,20,28,26
"61",34,18,30,31
"62",29,20,27,28
"63",34,31,28,28
"64",31,20,26,27
"65",25,20,26,31
"66",31,19,31,33
"67",34,20,30,27
"68",30,21,32,26
"69",25,19,29,28
"70",33,19,30,30
"71",27,20,27,27
"72",30,29,25,29
"73",32,19,29,28
"74",31,20,29,27
"75",28,19,27,30
"76",34,21,28,27
"77",33,19,29,30
"78",33,19,28,25
"79",37,20,28,30
"80",34,20,31,28
"81",30,20,29,28
"82",26,20,26,27
"83",28,20,28,25
"84",33,19,28,31
"85",31,20,28,25
"86",30,19,28,27
"87",32,20,28,26
"88",32,20,30,29
"89",33,20,29,28
"90",34,19,27,25
"91",27,21,30,28
"92",34,21,25,26
"93",37,20,30,28
"94",33,21,30,29
"95",33,20,30,29
"96",30,22,27,31
"97",29,19,28,28
"98",31,20,28,27
"99",28,20,28,29
"100",31,20,32,22
"101",34,20,29,28
"102",35,18,28,27
"103",33,20,25,28
"104",30,19,27,33
"105",32,19,29,31
"106",32,21,26,28
"107",32,20,33,28
"108",34,18,28,26
"109",35,19,27,27
"110",34,19,27,25
"111",31,31,27,29
"112",31,20,26,29
"113",32,19,28,25
"114",28,19,28,27
"115",32,22,29,30
"116",32,20,29,32
"117",30,19,28,26
"118",29,20,29,28
"119",29,17,29,31
"120",33,20,29,25
"121",33,21,29,29
"122",34,20,27,25
"123",34,20,24,28
"124",32,20,27,30
"125",32,20,29,28
"126",35,20,25,34
"127",33,18,25,27
"128",31,20,27,29
"129",29,18,30,28
"130",34,31,28,25
"131",29,21,27,32
"132",31,19,28,30
"133",25,19,27,25
"134",30,19,26,32
"135",33,20,28,26
"136",32,21,30,27
"137",33,20,28,25
"138",29,16,24,29
"139",29,19,30,29
"140",32,20,25,30
"141",31,19,30,28
"142",33,21,29,27
"143",33,18,30,29
"144",30,20,31,29
"145",31,18,29,27
"146",30,20,29,30
"147",30,19,28,30
"148",30,20,26,28
"149",32,20,25,29
"150",32,19,29,29
"151",35,17,31,27
"152",32,19,29,30
"153",28,18,32,28
"154",31,19,29,30
"155",34,19,28,28
"156",28,19,29,24
"157",31,21,24,25
"158",31,19,28,24
"159",32,20,26,28
"160",34,20,30,26
"161",34,20,27,25
"162",30,20,29,31
"163",32,20,27,26
"164",33,19,30,29
"165",35,21,29,29
"166",31,19,29,27
"167",34,20,26,28
"168",32,19,27,28
"169",36,20,29,31
"170",31,18,27,31
"171",29,21,29,28
"172",34,20,33,27
"173",34,20,30,25
"174",26,19,26,26
"175",32,19,30,27
"176",32,21,28,29
"177",33,20,28,30
"178",33,20,28,25
"179",32,20,28,28
"180",30,21,27,29
"181",29,21,27,30
"182",32,20,28,26
"183",36,21,30,31
"184",31,19,28,29
"185",33,19,28,32
"186",34,19,29,31
"187",31,19,27,29
"188",28,21,26,31
"189",30,20,27,27
"190",31,20,29,26
"191",34,20,29,31
"192",33,19,29,31
"193",33,30,28,32
"194",26,18,28,26
"195",32,19,28,30
"196",29,19,24,31
"197",36,22,27,31
"198",32,18,28,23
"199",33,20,24,25
"200",30,21,28,25
"201",28,21,28,26
"202",35,21,30,28
"203",34,21,29,29
"204",35,20,30,32
"205",28,19,30,30
"206",29,19,28,26
"207",29,19,27,25
"208",33,20,29,32
"209",33,20,28,28
"210",33,18,28,32
"211",33,19,28,30
"212",33,19,28,23
"213",32,19,27,27
"214",32,19,28,28
"215",35,19,28,26
"216",30,20,28,29
"217",31,19,27,26
"218",32,20,28,29
"219",33,20,27,28
"220",29,20,27,31
"221",35,20,28,32
"222",29,21,27,28
"223",32,21,30,30
"224",31,21,30,27
"225",33,19,29,29
"226",26,19,26,30
"227",33,19,28,32
"228",34,19,27,26
"229",32,18,30,32
"230",27,17,25,28
"231",33,19,28,32
"232",31,18,27,30
"233",35,19,28,29
"234",30,20,28,25
"235",29,20,26,29
"236",27,20,26,28
"237",37,21,27,28
"238",32,21,26,29
"239",27,19,27,25
"240",36,19,27,29
"241",29,19,27,26
"242",31,21,28,31
"243",30,19,28,24
"244",35,21,27,27
"245",32,20,27,28
"246",28,20,26,32
"247",24,18,29,29
"248",35,21,29,27
"249",31,31,30,29
"250",30,19,29,27
"251",33,32,28,29
"252",29,30,28,28
"253",31,18,29,28
"254",35,20,26,23
"255",33,18,30,29
"256",31,21,29,28
"257",29,20,28,28
"258",35,20,30,29
"259",34,20,30,30
"260",36,20,32,28
"261",31,20,28,31
"262",34,17,29,28
"263",32,19,26,28
"264",28,19,30,27
"265",29,19,25,31
"266",30,19,30,29
"267",35,18,28,28
"268",30,22,27,27
"269",32,20,28,29
"270",32,20,30,29
"271",33,20,28,29
"272",34,19,26,31
"273",27,21,25,27
"274",26,18,27,27
"275",32,19,31,30
"276",32,20,30,27
"277",29,20,30,28
"278",29,18,28,28
"279",33,19,28,28
"280",33,20,30,28
"281",28,20,28,30
"282",32,18,32,29
"283",35,20,27,28
"284",35,19,29,27
"285",33,18,30,30
"286",34,20,26,28
"287",29,19,28,31
"288",25,19,25,29
"289",31,26,30,26
"290",29,19,28,28
"291",29,19,27,32
"292",31,20,33,25
"293",31,20,24,28
"294",31,20,30,28
"295",30,17,28,26
"296",28,20,28,25
"297",34,21,30,24
"298",32,20,26,26
"299",32,20,28,28
"300",35,20,27,29
"301",31,19,26,24
"302",33,20,28,29
"303",30,20,27,33
"304",37,20,27,26
"305",28,19,29,34
"306",30,19,27,28
"307",33,22,31,29
"308",32,14,30,24
"309",33,21,28,29
"310",31,19,32,30
"311",30,21,27,26
"312",32,18,28,34
"313",33,16,27,32
"314",33,17,29,32
"315",34,20,32,26
"316",29,30,28,29
"317",34,20,31,25
"318",32,17,26,29
"319",29,20,29,33
"320",32,20,27,31
"321",27,20,28,27
"322",32,19,28,29
"323",34,20,29,29
"324",28,19,27,28
"325",34,21,31,29
"326",32,20,29,29
"327",30,21,29,32
"328",30,20,29,29
"329",34,19,27,26
"330",31,21,29,31
"331",32,20,28,29
"332",33,20,28,31
"333",30,20,28,30
"334",31,20,29,28
"335",32,20,29,26
"336",34,17,28,30
"337",27,19,27,28
"338",32,18,29,28
"339",27,20,29,26
"340",29,20,28,30
"341",33,20,30,30
"342",35,21,29,26
"343",35,31,28,30
"344",33,20,28,21
"345",31,20,26,33
"346",35,20,26,28
"347",32,28,32,31
"348",32,18,29,31
"349",32,20,29,27
"350",37,18,33,27
"351",33,20,32,23
"352",30,21,26,30
"353",33,21,27,33
"354",30,27,28,29
"355",36,21,30,29
